cmpd,plate.384,row.384,column.384,available,plate.96,row.96,column.96
1500139,MS384004,F,22,,MS096008,B,11
1500733,MS384004,G,3,,MS096007,C,2
1500736,MS384004,G,4,,MS096007,C,3
1500758,MS384004,G,5,,MS096007,C,4
1500764,MS384004,G,6,,MS096007,C,5
1500765,MS384004,G,7,,MS096007,C,6
1500827,MS384004,G,8,,MS096007,C,7
1500838,MS384004,G,9,,MS096007,C,8
1500842,MS384004,G,10,,MS096007,C,9
1500855,MS384004,G,11,,MS096007,C,10
1500876,MS384004,G,12,,MS096007,C,11
1500117,MS384004,G,13,,MS096008,C,2
1500127,MS384004,G,14,,MS096008,C,3
1500113,MS384004,G,15,,MS096008,C,4
1500120,MS384004,G,16,,MS096008,C,5
1500166,MS384004,G,17,,MS096008,C,6
1500142,MS384004,G,18,,MS096008,C,7
1500192,MS384004,G,19,,MS096008,C,8
1500253,MS384004,G,20,,MS096008,C,9
1500103,MS384004,G,21,,MS096008,C,10
1500160,MS384004,G,22,,MS096008,C,11
1500904,MS384004,H,3,,MS096007,D,2
1500906,MS384004,H,4,,MS096007,D,3
1500907,MS384004,H,5,,MS096007,D,4
1500986,MS384004,H,6,,MS096007,D,5
1500987,MS384004,H,7,,MS096007,D,6
1500984,MS384004,H,8,,MS096007,D,7
1500939,MS384004,H,9,,MS096007,D,8
1500879,MS384004,H,10,,MS096007,D,9
1500991,MS384004,H,11,,MS096007,D,10
1501012,MS384004,H,12,,MS096007,D,11
1500267,MS384004,H,13,,MS096008,D,2
1500364,MS384004,H,14,,MS096008,D,3
1500159,MS384004,H,15,,MS096008,D,4
1500264,MS384004,H,16,,MS096008,D,5
1500276,MS384004,H,17,,MS096008,D,6
1500112,MS384004,H,18,,MS096008,D,7
1500114,MS384004,H,19,,MS096008,D,8
1500146,MS384004,H,20,,MS096008,D,9
1500165,MS384004,H,21,,MS096008,D,10
1500362,MS384004,H,22,,MS096008,D,11
1501014,MS384004,I,3,,MS096007,E,2
1501017,MS384004,I,4,,MS096007,E,3
1501019,MS384004,I,5,,MS096007,E,4
1501022,MS384004,I,6,,MS096007,E,5
1501193,MS384004,I,7,,MS096007,E,6
1501203,MS384004,I,8,,MS096007,E,7
1501204,MS384004,I,9,,MS096007,E,8
1501205,MS384004,I,10,x,MS096007,E,9
1501207,MS384004,I,11,,MS096007,E,10
1501211,MS384004,I,12,,MS096007,E,11
1500273,MS384004,I,13,,MS096008,E,2
1500380,MS384004,I,14,,MS096008,E,3
1500129,MS384004,I,15,x,MS096008,E,4
1500177,MS384004,I,16,,MS096008,E,5
1500182,MS384004,I,17,,MS096008,E,6
1500455,MS384004,I,18,,MS096008,E,7
1500189,MS384004,I,19,,MS096008,E,8
1500200,MS384004,I,20,,MS096008,E,9
1500347,MS384004,I,21,,MS096008,E,10
1500183,MS384004,I,22,,MS096008,E,11
1502020,MS384004,J,3,,MS096007,F,2
1502023,MS384004,J,4,,MS096007,F,3
1502126,MS384004,J,5,,MS096007,F,4
